,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
train11,0,0,0,1,0,1,0,1,0,0,2,7,3,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,24,23,0,0,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train12,0,0,0,0,0,0,43,18,0,0,45,0,0,6,0,0,0,9,7,0,1,80,0,0,0,0,0,28,47,0,0,0,0,21,0,0,0,2,0,0,3,23,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
train13,10,2,0,0,2,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train14,0,0,0,1,0,6,37,2,0,1,12,1,2,0,0,0,0,0,6,0,0,0,5,0,0,0,0,5,6,6,0,0,0,17,10,2,0,6,0,0,6,1,0,12,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train15,0,0,0,1,0,0,11,13,0,0,13,1,0,0,0,0,6,6,4,5,0,9,0,0,0,0,0,28,6,3,0,0,0,67,0,0,0,2,0,0,3,18,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
train16,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,6,0,4,0,0,0,0,100,5,0,0,0,0,4,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train17,0,0,0,0,0,6,0,2,0,3,2,27,4,0,0,0,33,0,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,100,2,0,0,12,0,0,0,0,0,0,0,29,0,0,100,0,12,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train18,0,0,0,0,0,9,0,0,0,3,3,18,10,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,16,50,0,0,0,0,0,35,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
train19,0,0,0,2,0,16,0,1,0,0,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,25,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train20,0,0,0,8,0,6,0,10,0,4,11,22,29,2,0,0,4,6,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,16,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,0,0,0,0,0,33,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
train21,0,0,0,0,0,0,0,10,0,0,5,20,4,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,50,2,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
train22,0,0,0,8,0,9,0,4,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train23,0,0,0,2,0,0,0,8,0,1,0,1,0,0,0,0,3,0,2,0,26,0,0,9,0,0,0,0,0,0,100,35,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train24,0,0,0,0,0,0,0,2,0,2,0,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,12,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
train25,0,0,0,6,0,6,10,0,0,0,25,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,30,0,0,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train26,0,0,0,1,0,8,4,0,0,0,4,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,2,2,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0
train27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train28,0,0,0,0,0,0,16,3,0,0,36,1,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train29,0,0,0,0,0,0,1,5,0,0,7,1,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,1,24,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
train30,0,0,0,1,0,3,0,0,0,10,5,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train31,0,0,0,0,0,3,0,0,0,4,4,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train32,0,0,0,1,0,3,0,1,0,3,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train33,15,0,4,3,1,7,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train34,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train35,7,1,10,1,4,32,0,0,25,3,6,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train36,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,6,0,30,0,0,2,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train37,0,0,0,2,0,6,0,0,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,40,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
train38,0,0,0,2,0,2,4,100,0,0,8,13,0,0,0,0,0,0,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3,15,0,4,0,0,0,0,0,0,10,0,100,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train39,11,0,0,0,0,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train40,0,0,0,1,0,0,4,4,0,7,1,2,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train41,0,0,0,0,0,1,0,0,0,6,22,8,21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,3,0,0,22,0,0,2,0,0,0,0,3,0,0,0,0,20,16,8,0,0,0,0,35,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
train42,0,0,0,1,0,3,21,17,0,9,19,5,0,41,0,1,0,0,11,0,0,57,0,0,0,0,0,0,57,7,0,0,2,73,0,0,0,1,18,0,5,0,0,1,0,23,14,5,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0
train43,0,0,0,0,0,0,0,39,0,0,12,2,0,2,0,0,0,0,81,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train44,0,0,2,2,0,5,0,2,0,0,0,6,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,9,18,0,6,0,0,11,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train45,0,0,0,0,0,0,30,5,0,0,5,9,0,3,0,0,0,6,0,0,0,100,0,0,0,0,0,34,4,0,0,0,0,0,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0
train46,0,0,0,0,0,0,0,8,0,12,8,4,9,1,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,39,0,0,0,0,6,42,13,0,0,0,0,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
train47,0,0,0,2,0,2,85,2,0,0,45,7,1,9,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train48,0,0,0,0,0,0,21,1,0,0,56,1,0,0,0,0,1,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train49,0,0,0,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
train50,0,0,0,2,0,5,0,1,0,1,1,10,2,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train51,0,0,0,0,0,0,0,7,0,0,0,7,1,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,56,0,0,0,0,0,0,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train52,0,0,0,0,0,0,18,0,0,0,4,5,0,17,0,0,0,0,11,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train53,0,0,0,2,0,1,0,6,0,8,0,4,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train54,0,0,0,6,0,0,0,9,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train55,0,0,1,8,0,4,7,52,0,6,9,5,0,2,0,0,0,0,14,0,0,11,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,22,0,0,1,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
train56,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train57,0,0,0,1,0,2,0,1,0,2,2,8,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,14,2,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train58,60,0,2,0,0,6,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train59,0,0,0,2,0,18,0,5,0,3,0,6,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,4,19,0,0,7,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train60,0,0,0,0,0,11,0,0,0,0,2,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
train61,0,0,0,0,0,1,0,5,0,2,1,4,5,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train62,0,0,0,0,0,0,16,3,0,0,2,1,0,26,0,0,0,0,3,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,15,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
train63,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,32,4,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train64,0,0,0,3,0,7,0,0,0,4,0,20,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,11,0,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
train65,0,0,0,0,0,5,0,1,2,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train66,0,0,0,0,0,1,0,2,0,8,0,14,4,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train67,0,0,0,1,0,1,0,1,0,0,2,2,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
train68,0,0,0,3,0,0,8,6,0,0,0,15,2,1,0,0,0,20,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train69,0,0,0,0,0,0,37,9,0,0,54,8,0,1,0,0,0,5,2,0,0,98,0,0,0,0,0,21,3,0,0,0,0,6,0,1,0,7,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0
train70,0,0,0,1,0,4,15,2,0,4,7,6,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train71,0,0,0,0,0,11,0,0,0,3,6,12,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,32,0,0,0,0,0,17,0,0,9,3,0,0,0,0,0,0,0,0,0,30,0,0,38,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train72,0,0,0,1,0,0,2,20,0,2,0,11,2,4,0,0,0,0,6,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
train73,0,0,0,0,0,2,7,2,0,1,3,2,2,5,0,0,0,10,3,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,1,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
